week,week_start,week_end,metric,metric_name,unit,target_value,lower_is_better,average,maximum,minimum,achieved_days,valid_days,missing_days,achievement_rate
2026-W19,2026-05-04,2026-05-10,stand_hours,Stand Hours,hours,12.0,False,11.857142857142858,13.0,11.0,5,7,0,71.42857142857143
2026-W19,2026-05-04,2026-05-10,sleep_onset,Sleep Onset Time,hours,25.5,True,26.733333333333338,28.71666666666667,25.866666666666667,0,7,0,0.0
2026-W19,2026-05-04,2026-05-10,wake_time,Wake Time,hours,32.5,True,33.39337301587302,34.43527777777778,32.52111111111111,0,7,0,0.0
2026-W19,2026-05-04,2026-05-10,awake_count,Awake Count,times,1.0,True,2.4285714285714284,4.0,0.0,1,7,0,14.285714285714285
2026-W19,2026-05-04,2026-05-10,awake_duration,Awake Duration,minutes,5.0,True,2.795238095238095,5.016666666666667,0.0,6,7,0,85.71428571428571
2026-W19,2026-05-04,2026-05-10,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,1.4357142857142857,2.5166666666666666,0.0,7,7,0,100.0
2026-W19,2026-05-04,2026-05-10,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.376574074074075,33.08916666666667,29.024166666666662,2,6,1,33.33333333333333
2026-W20,2026-05-11,2026-05-17,sleep_duration,Sleep Duration,hours,6.5,False,6.398928571428572,6.956944444444445,5.986944444444443,3,7,0,42.857142857142854
2026-W20,2026-05-11,2026-05-17,steps,Steps,steps,15000.0,False,17467.428571428572,20821.0,14223.0,6,7,0,85.71428571428571
2026-W20,2026-05-11,2026-05-17,active_energy,Active Energy Burned,kcal,500.0,False,411.2852857142831,456.7820000000004,373.17199999999735,0,7,0,0.0
2026-W20,2026-05-11,2026-05-17,exercise_time,Exercise Time,minutes,30.0,False,35.142857142857146,43.0,24.0,6,7,0,85.71428571428571
2026-W20,2026-05-11,2026-05-17,stand_hours,Stand Hours,hours,12.0,False,11.857142857142858,14.0,10.0,4,7,0,57.14285714285714
2026-W20,2026-05-11,2026-05-17,sleep_onset,Sleep Onset Time,hours,25.5,True,26.228571428571428,26.6,25.6,0,7,0,0.0
2026-W20,2026-05-11,2026-05-17,wake_time,Wake Time,hours,32.5,True,32.768412698412696,33.185,32.21666666666667,1,7,0,14.285714285714285
2026-W20,2026-05-11,2026-05-17,awake_count,Awake Count,times,1.0,True,1.2857142857142858,2.0,0.0,4,7,0,57.14285714285714
2026-W20,2026-05-11,2026-05-17,awake_duration,Awake Duration,minutes,5.0,True,5.371428571428571,10.533333333333331,0.0,3,7,0,42.857142857142854
2026-W20,2026-05-11,2026-05-17,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,4.799999999999999,10.033333333333331,0.0,3,7,0,42.857142857142854
2026-W20,2026-05-11,2026-05-17,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,31.0487962962963,32.464444444444446,29.131666666666668,3,6,1,50.0
2026-W21,2026-05-18,2026-05-24,sleep_duration,Sleep Duration,hours,6.5,False,6.300992063492063,6.873055555555556,5.602222222222222,3,7,0,42.857142857142854
2026-W21,2026-05-18,2026-05-24,steps,Steps,steps,15000.0,False,19136.285714285714,29115.0,9330.0,5,7,0,71.42857142857143
2026-W21,2026-05-18,2026-05-24,active_energy,Active Energy Burned,kcal,500.0,False,442.0791428571426,555.1099999999985,286.76099999999974,3,7,0,42.857142857142854
2026-W21,2026-05-18,2026-05-24,exercise_time,Exercise Time,minutes,30.0,False,38.57142857142857,51.0,19.0,5,7,0,71.42857142857143
2026-W21,2026-05-18,2026-05-24,stand_hours,Stand Hours,hours,12.0,False,13.285714285714286,16.0,11.0,5,7,0,71.42857142857143
2026-W21,2026-05-18,2026-05-24,sleep_onset,Sleep Onset Time,hours,25.5,True,26.14761904761904,26.4,25.883333333333333,0,7,0,0.0
2026-W21,2026-05-18,2026-05-24,wake_time,Wake Time,hours,32.5,True,32.50988095238095,33.08083333333333,31.96444444444445,4,7,0,57.14285714285714
2026-W21,2026-05-18,2026-05-24,awake_count,Awake Count,times,1.0,True,1.7142857142857142,4.0,1.0,4,7,0,57.14285714285714
2026-W21,2026-05-18,2026-05-24,awake_duration,Awake Duration,minutes,5.0,True,4.440476190476191,11.55,0.5,4,7,0,57.14285714285714
2026-W21,2026-05-18,2026-05-24,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,3.9380952380952374,11.033333333333331,0.5,4,7,0,57.14285714285714
2026-W21,2026-05-18,2026-05-24,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.14270833333333,30.944444444444443,29.355833333333333,0,4,3,0.0
